"","multi.km$cluster","avg","gain","peak","achievements","positive_ratings","negative_ratings","average_playtime"
"Day of Defeat: Source",3,677.769708737864,-8.93669902912621,1437.84466019417,54,10489,1210,1356
"DayZ",5,8097.25643564356,220.043861386139,16341.8118811881,0,118435,77169,7235
"DC Universe Online",6,744.222038834951,-14.7387378640777,1302.15533980583,169,10138,2654,2990
"DCS World Steam Edition",3,358.300666666667,11.7904444444444,690.611111111111,0,5083,1534,2343
"Dead by Daylight",6,20919.9805357143,430.369107142857,41349.8571428571,128,140721,44985,5904
"Dead Frontier 2",3,491.322333333333,20.5033333333333,1075.86666666667,0,4814,2179,0
"Dead Island Definitive Edition",3,196.090701754386,4.96,652.877192982456,57,3513,1415,1725
"Dead Space 2",3,104.932718446602,-1.48165048543689,262.679611650485,0,8943,493,292
"Deceit",3,1251.57566037736,13.7222641509434,2706.49056603774,14,18666,6032,469
"Deep Rock Galactic",3,2019.1086,182.5016,5499.48,0,10254,838,3350
"Defiance",3,517.938585858586,0.355959595959596,1208.85858585859,0,9150,2808,953
"Depth",3,257.301428571429,1.76220779220779,1020.88311688312,40,22385,3472,791
"Destiny 2",5,69393.380625,-6619.610625,129516,0,1504,1489,280
"Deus Ex: Game of the Year Edition",3,63.9303883495146,-0.443592233009709,152.611650485437,0,6242,347,324
"Digimon Masters Online",3,819.178076923077,15.6907692307692,1349.75,0,2836,1350,447
"Dino D-Day",3,51.0106796116505,-0.172233009708738,307.864077669903,77,12222,2367,172
"DiRT 4",3,261.531224489796,7.55897959183674,715.959183673469,48,3779,1923,873
"DiRT Rally",6,546.829275362319,-4.88521739130435,1765.3768115942,170,17632,2496,488
"DiRT Rally 2.0",3,916.499565217391,30.0913043478261,1979.13043478261,54,1017,670,104
"Dirty Bomb",3,1419.60828571429,1.82771428571428,2734.01428571429,77,43743,10891,715
"Distance",3,30.5055405405405,-0.562432432432432,99.6891891891892,31,3989,279,887
"Don't Starve Together",3,8625.8195945946,142.956351351351,19318.8243243243,0,108601,4206,1070
"DOOM",3,1855.47403508772,-210.179649122807,4392.70175438596,54,68536,5156,751
"Dota 2",2,457625.24592233,3418.55378640777,790969.223300971,0,863507,142079,23944
"Double Action: Boogaloo",3,49.1264473684211,-5.92039473684211,122.526315789474,14,9252,786,5852
"DRAGON BALL FighterZ",3,1655.80432432432,-447.21027027027,3894.24324324324,35,10441,2264,3020
"DRAGON BALL XENOVERSE",3,431.577763157895,0.598289473684207,1457.03947368421,50,12601,1680,2575
"DRAGON BALL XENOVERSE 2",3,1002.15705882353,-66.4745098039216,2206.6862745098,61,9531,2495,3194
"Duck Game",3,353.171805555556,7.36805555555556,930.694444444444,18,16769,755,607
"Duke Nukem Forever",3,54.946213592233,-1.59300970873786,145.679611650485,62,4433,2243,434
"Dungeon Defenders",3,601.824174757282,-57.1835922330097,1419.00970873786,114,10693,932,1993
"Dungeon Defenders II",3,779.998488372093,5.23406976744187,1858.45348837209,18,10766,3802,523
"Dungeon of the Endless",3,185.859069767442,0.22313953488372,621.860465116279,33,7423,1046,648
"Dungeons 3",3,262.43,3.92666666666667,847.104166666667,60,8974,528,559
"Dying Light",3,4433.26902777778,-72.2354166666667,11740.1111111111,68,78192,6176,2033
"E.Y.E: Divine Cybermancy",3,39.3891262135922,-1.91291262135922,147.601941747573,100,4459,906,413
"EA SPORTS FIFA 21 ",3,16246.71,1095.42,30965.25,36,16481,5418,8405
"Eco",3,780.325609756098,72.0636585365854,1819.63414634146,0,1875,639,2197
"Elite Dangerous",3,4881.32642857143,55.2447142857143,9902.64285714286,0,26143,11006,4545
"Elsword",3,461.835934065934,-12.7565934065934,955.582417582418,0,4755,1511,796
"Empyrion - Galactic Survival",3,1788.89313432836,32.9692537313433,3617.85074626866,0,11061,2777,495
"Endless Legend",6,735.025,-2.45829268292683,2152.84146341463,139,10015,2107,1045
"Europa Universalis IV",6,9618.25936170213,169.034680851064,18277.670212766,295,40346,8254,8138
"F.E.A.R. 2: Project Origin",3,53.5294174757282,-0.797281553398058,133.145631067961,0,3274,509,301
"F.E.A.R. 3",3,82.6731067961165,-3.92495145631068,252.135922330097,50,5349,2030,310
"F1 2012",3,216.038811881188,-12.1111881188119,571.910891089109,49,1447,176,1623
"F1 2014",3,99.0394845360825,0.537731958762887,283.659793814433,49,1113,317,1508
"F1 2015",3,181.148,0.387999999999999,1775.32857142857,45,3834,2720,305
"F1 2016",3,325.920178571429,0.371071428571429,951.107142857143,49,3237,612,1397
"F1 2017",3,546.963571428571,-89.9647619047619,1510.09523809524,50,3375,685,1164
"F1 2018",3,914.961,-135.586666666667,2396.03333333333,50,2491,630,3824
"Factorio",5,8016.09583333333,183.633333333333,14459.1666666667,38,47918,723,10087
